,sadness,joy,love,anger,fear,surprise
score,0.055397920310497284,0.004272965248674154,0.0013452721759676933,0.6496204733848572,0.2826686203479767,0.0066947247833013535
score,0.007577996701002121,0.003466266905888915,0.0006898015853948891,0.6792559027671814,0.3077547252178192,0.0012553633423522115
score,0.0015427100006490946,0.0013637887313961983,0.00035498812212608755,0.9764260649681091,0.019898688420653343,0.0004138524236623198
score,0.0006599655607715249,0.0010588319273665547,0.001094734761863947,0.9755553007125854,0.020915210247039795,0.0007159098167903721
score,0.0038939104415476322,0.025755291804671288,0.001385426614433527,0.9560962915420532,0.012101482599973679,0.0007676578243263066
score,0.001789764268323779,0.0003827558539342135,0.00028567694243974984,0.9959079027175903,0.0014286040095612407,0.00020532237249426544
score,0.0012198962504044175,0.0027965211775153875,0.0005229247617535293,0.967293381690979,0.02755291573703289,0.0006143634673207998
score,0.000960161502007395,0.0006347424350678921,0.00039570906665176153,0.9969262480735779,0.0008345998357981443,0.00024850707268342376
score,0.00196955818682909,0.0017638277495279908,0.0003504941123537719,0.9847308397293091,0.010983874090015888,0.0002014262427110225
score,0.26177600026130676,0.0028825795743614435,0.00445983512327075,0.11848346889019012,0.6080451011657715,0.004352963529527187
score,0.2265903651714325,0.006801392883062363,0.0015873832162469625,0.7621965408325195,0.0018087205244228244,0.0010156321804970503
score,0.9944038391113281,0.0015185704687610269,0.00036293594166636467,0.0006571391131728888,0.002739743795245886,0.00031771374051459134
score,0.09485838562250137,0.0175460372120142,0.0022661834955215454,0.87965989112854,0.004620457533746958,0.0010490759741514921
score,0.15708883106708527,0.00428288709372282,0.0011985937599092722,0.8345215320587158,0.0021714475005865097,0.0007367777288891375
score,0.01219497062265873,0.006595108192414045,0.0010130732553079724,0.9324653148651123,0.04611992463469505,0.0016116679180413485
score,0.9855802059173584,0.0038816723972558975,0.0004525022523012012,0.0035369901452213526,0.006068787537515163,0.0004798313311766833
score,0.0007476434111595154,0.0003674203180707991,0.000248693220783025,0.9971670508384705,0.0012485680636018515,0.00022049184190109372
score,0.006247542332857847,0.06994157284498215,0.0026485424023121595,0.8998568058013916,0.019825618714094162,0.0014799479395151138
score,0.002816842868924141,0.0005923577700741589,0.00022228271700441837,0.994793713092804,0.001398783060722053,0.00017594912787899375
score,0.0011892266338691115,0.0006978775491006672,0.0002693591231945902,0.9918557405471802,0.005730907898396254,0.0002568877534940839
score,0.0005988971097394824,0.0011398419737815857,0.0005806988338008523,0.9960770010948181,0.0012883358867838979,0.00031522527569904923
score,0.13643105328083038,0.0031149815768003464,0.0017758473986759782,0.27777060866355896,0.5795655846595764,0.0013419466558843851
score,0.0040587387047708035,0.4239557385444641,0.002782864961773157,0.003731577657163143,0.0063300300389528275,0.5591410398483276
score,0.005729008931666613,0.9423914551734924,0.00514190224930644,0.03899659216403961,0.005533727817237377,0.002207365585491061
score,0.0019339557038620114,0.00084021216025576,0.0011376015609130263,0.9941930174827576,0.0016582482494413853,0.0002368715067859739
score,0.004222223535180092,0.0017211069352924824,0.0006366639281623065,0.9923225045204163,0.0008788592531345785,0.0002187357604270801
score,0.004174584057182074,0.0017313495045527816,0.0007770740776322782,0.735410749912262,0.2570461928844452,0.0008600830915383995
score,0.009300186298787594,0.04054811969399452,0.0032497714273631573,0.3883252739906311,0.5558736324310303,0.002702995203435421
score,0.010050705634057522,0.14961010217666626,0.005314275156706572,0.8189842700958252,0.014032278209924698,0.0020083971321582794
score,0.0011007002322003245,0.00044323966722004116,0.0002107675391016528,0.9971957206726074,0.000865540758240968,0.00018400941917207092
score,0.032865025103092194,0.0674232468008995,0.0019345785258337855,0.8835911154747009,0.012714752927422523,0.0014712337870150805
score,0.9852863550186157,0.0007874983130022883,0.0003196235920768231,0.01176836434751749,0.0016180173261091113,0.00022015729336999357
score,0.010412984527647495,0.046767037361860275,0.0016006581718102098,0.935341477394104,0.0049532391130924225,0.0009246633853763342
score,0.0009355127112939954,0.9956967830657959,0.0013481562491506338,0.0012440027203410864,0.00045234430581331253,0.00032303365878760815
score,0.018298903480172157,0.01737072318792343,0.0032122477423399687,0.9533547163009644,0.007130017504096031,0.0006334907375276089
score,0.011105629615485668,0.8238806128501892,0.019075792282819748,0.14134405553340912,0.0031275360379368067,0.0014663906767964363
score,0.003161168424412608,0.02279192954301834,0.002138943411409855,0.9625921249389648,0.008592749945819378,0.0007232015486806631
score,0.006099262274801731,0.9840726256370544,0.0011615867260843515,0.005447207018733025,0.0027358103543519974,0.00048352821613661945
score,0.015059052966535091,0.03881188854575157,0.002072287956252694,0.9329473376274109,0.010186312720179558,0.0009232311858795583
score,0.0035721659660339355,0.0023807755205780268,0.000336452794726938,0.9809271097183228,0.012439265847206116,0.0003442892921157181
score,0.0059277997352182865,0.0030526970513164997,0.0006380191189236939,0.9429289698600769,0.04670354351401329,0.00074893789133057
score,0.015110698528587818,0.7391126751899719,0.003907357808202505,0.21311308443546295,0.015057089738547802,0.013699072413146496
score,0.012111276388168335,0.06555835902690887,0.004271848127245903,0.24439220130443573,0.6681199073791504,0.005546490661799908
score,0.0017085334984585643,0.0011691112304106355,0.0003421561559662223,0.9875012636184692,0.009027692489326,0.00025115968310274184
score,0.0024048935156315565,0.9788141846656799,0.0013628338929265738,0.012690936215221882,0.002269959542900324,0.0024571542162448168
score,0.009006727486848831,0.004479734227061272,0.0006626874674111605,0.11830233782529831,0.8666520118713379,0.0008965904708020389
score,0.007043276913464069,0.005913889035582542,0.0008424113038927317,0.9490202069282532,0.03624254837632179,0.0009376578964293003
score,0.0038988653104752302,0.021670596674084663,0.0012044510804116726,0.969525158405304,0.0030956678092479706,0.000605113513302058
score,0.004236456006765366,0.030509015545248985,0.0016828019870445132,0.9508140087127686,0.008512378670275211,0.004245349671691656
score,0.9940301179885864,0.0011043461272493005,0.00031733480864204466,0.0037309753242880106,0.0006269280565902591,0.00019016453006770462
score,0.00712412316352129,0.02534029819071293,0.002956746146082878,0.29309210181236267,0.6662787199020386,0.005207993555814028
score,0.08405905216932297,0.008451472036540508,0.0008026431314647198,0.8968845009803772,0.009241830557584763,0.0005605837795883417
score,0.00419253995642066,0.0013751325896009803,0.00047648680629208684,0.9297623634338379,0.06363040208816528,0.000563068431802094
score,0.02455870993435383,0.022003524005413055,0.7322342395782471,0.21745699644088745,0.002080166945233941,0.0016663457499817014
score,0.0051640719175338745,0.01893717236816883,0.0010200884426012635,0.9316089153289795,0.04243667796254158,0.0008331600693054497
score,0.0007222202839329839,0.0007046032696962357,0.00024269177811220288,0.9902089834213257,0.007916751317679882,0.00020478606165852398
score,0.001238335040397942,0.0011121374554932117,0.0002997645642608404,0.9528956413269043,0.043408047407865524,0.0010460576741024852
score,0.0021551214158535004,0.003346283221617341,0.0004013646685052663,0.9906927943229675,0.0030156688299030066,0.0003887915809173137
score,0.620709240436554,0.0048030465841293335,0.0011121148709207773,0.3678533136844635,0.0049956911243498325,0.000526564777828753
score,0.004541603848338127,0.9476327300071716,0.016689226031303406,0.023599820211529732,0.005568000487983227,0.00196857750415802
score,0.0003699843364302069,0.9983073472976685,0.0003837115073110908,0.00037000549491494894,0.00029375843587331474,0.00027521621086634696
score,0.007821924984455109,0.9390831589698792,0.002890716539695859,0.03793656453490257,0.006834529805928469,0.005433267448097467
score,0.009626245126128197,0.07453235983848572,0.002239801222458482,0.8862279057502747,0.025646835565567017,0.0017268323572352529
score,0.010939623229205608,0.6473821997642517,0.0040167937986552715,0.32987701892852783,0.005811913404613733,0.001972298137843609
score,0.0026003620587289333,0.0011607405031099916,0.00035681232111528516,0.9652193188667297,0.03033488802611828,0.0003279572119936347
score,0.0008735934970900416,0.9963207244873047,0.0007606983999721706,0.0010904142400249839,0.0005571535439230502,0.00039736353210173547
score,0.06187313422560692,0.22197002172470093,0.003922116942703724,0.6902616620063782,0.0203554667532444,0.0016175599303096533
score,0.008464488200843334,0.002664698986336589,0.0005151929799467325,0.9815425276756287,0.006433258298784494,0.00037982568028382957
score,0.8993688821792603,0.0034265010617673397,0.0006897578132338822,0.0823301449418068,0.012697558850049973,0.0014870143495500088
score,0.0006506991921924055,0.00033689726842567325,0.00019776413682848215,0.9974125027656555,0.001207919791340828,0.0001942585367942229
score,0.01233386155217886,0.02493266575038433,0.0017141819698736072,0.9434797763824463,0.01678636483848095,0.0007530975854024291
score,0.0024342245887964964,0.005963335745036602,0.0006234946777112782,0.9340169429779053,0.05599864944815636,0.0009633933077566326
score,0.004079416859894991,0.04971008002758026,0.00419716676697135,0.9362239837646484,0.004927372559905052,0.0008620478329248726
score,0.2988700568675995,0.059791792184114456,0.003624150762334466,0.6264839172363281,0.010015514679253101,0.0012145094806328416
score,0.008624865673482418,0.10053465515375137,0.0033018565736711025,0.5333555936813354,0.34856516122817993,0.0056178634986281395
score,0.0006595968152396381,0.00036930013447999954,0.00021048091002739966,0.996631920337677,0.0019755889661610126,0.00015319428348448128
score,0.0033417455852031708,0.011350134387612343,0.007058591116219759,0.9540692567825317,0.0236160047352314,0.0005642407340928912
score,0.004469242878258228,0.008487120270729065,0.0027193028945475817,0.9783201217651367,0.00559616181999445,0.00040803864249028265
score,0.3100282847881317,0.013249336741864681,0.0017750307451933622,0.6680994033813477,0.00427207350730896,0.0025758284609764814
score,0.9834496378898621,0.0013302162988111377,0.0005688716773875058,0.0015935773262754083,0.01238783448934555,0.0006699802470393479
score,0.9805561900138855,0.000978809897787869,0.0003201400104444474,0.016295772045850754,0.0014638142893090844,0.00038522513932548463
score,0.0066310940310359,0.004079456906765699,0.002070683054625988,0.8223521113395691,0.16399139165878296,0.0008753181318752468
score,0.0013262038119137287,0.0016829173546284437,0.0023541534319519997,0.9897608160972595,0.004321180749684572,0.0005546328029595315
score,0.031131288036704063,0.0070962850004434586,0.0010919994674623013,0.9567573070526123,0.003151123644784093,0.0007720245630480349
score,0.005046674981713295,0.03628551587462425,0.0038934045005589724,0.9405611157417297,0.013043194077908993,0.0011700137984007597
score,0.010749537497758865,0.002757052192464471,0.0005198696744628251,0.18134918808937073,0.8026139736175537,0.0020104441791772842
score,0.03613099455833435,0.003211499657481909,0.0004315188270993531,0.9513300061225891,0.008448273874819279,0.00044773335685022175
score,0.001794172334484756,0.006220661569386721,0.0005217785364948213,0.9769377708435059,0.013891110196709633,0.0006345034926198423
score,0.004371265415102243,0.0023856491316109896,0.0005715113948099315,0.9907525777816772,0.0016354972030967474,0.00028339834534563124
score,0.00723659060895443,0.003503859741613269,0.0006390953785739839,0.6882666349411011,0.2986253798007965,0.00172848766669631
score,0.035817138850688934,0.0010065227979794145,0.0007645465666428208,0.9527563452720642,0.009340730495750904,0.0003147769602946937
score,0.001023448770865798,0.00043513806303963065,0.0003249950532335788,0.9974393844604492,0.0005284425569698215,0.00024860084522515535
score,0.011515858583152294,0.13086552917957306,0.002936550648882985,0.6532779335975647,0.18587590754032135,0.015528278425335884
score,0.003551781177520752,0.003522672224789858,0.0006484906771220267,0.9061413407325745,0.085566446185112,0.000569225987419486
score,0.0015648831613361835,0.00041840996709652245,0.00016341263835784048,0.995853066444397,0.0018688266864046454,0.0001314241235377267
score,0.0047391499392688274,0.003827036125585437,0.0036296218167990446,0.9846886396408081,0.0026387793477624655,0.0004766692582052201
score,0.015566753223538399,0.020140215754508972,0.001084288232959807,0.9430936574935913,0.018910016864538193,0.0012050432851538062
score,0.013531525619328022,0.0008654018165543675,0.00023824720119591802,0.9811619520187378,0.003915886394679546,0.00028686862788163126
score,0.004352974705398083,0.005062779877334833,0.001058776630088687,0.9418189525604248,0.047184690833091736,0.000521837908308953
score,0.014526573941111565,0.002624071203172207,0.0009658869239501655,0.26607316732406616,0.7137326598167419,0.0020776784513145685
score,0.2616673409938812,0.25519898533821106,0.003623559605330229,0.34211575984954834,0.02665632776916027,0.11073807626962662
score,0.005960153415799141,0.008717291057109833,0.000952616916038096,0.7234418988227844,0.25835058093070984,0.0025774678215384483
score,0.0008048334275372326,0.0002815806947182864,0.0001619262620806694,0.9973325729370117,0.0012896585976704955,0.00012947098002769053
score,0.003505950327962637,0.005994406063109636,0.9599629044532776,0.021837906911969185,0.004658963531255722,0.004039823543280363
