,sadness,joy,love,anger,fear,surprise
score,0.015253011137247086,0.6266752779483795,0.005238755606114864,0.32331734895706177,0.02756599709391594,0.0019496011082082987
score,0.1431591399013996,0.39349188283085823,0.009616786148399115,0.255098145455122,0.1956058368086815,0.003028180100955069
score,0.055996069218963385,0.014236614690162241,0.0009817674290388823,0.9157781600952148,0.012390179559588432,0.0006171427085064352
score,0.008369548246264458,0.009901945479214191,0.0011158647248521447,0.9084547758102417,0.07134954631328583,0.0008082580170594156
score,0.24119816840781522,0.13097604585345834,0.002034782994693766,0.6136283278465271,0.010816677783926329,0.0013460361612184595
score,0.02628426067531109,0.2932157851755619,0.00413049734197557,0.5602447539567947,0.1137690506875515,0.0023557099339086562
score,0.032113625085912645,0.002930931863375008,0.0005869505403097719,0.9589732885360718,0.005026792059652507,0.00036843887937720865
score,0.07075438648462296,0.3170352876186371,0.0029116026125848293,0.46468350291252136,0.14166894555091858,0.0029463169630616903
score,0.0005661598406732082,0.9976471066474915,0.00037523030187003314,0.0005657159490510821,0.00033576233545318246,0.0005101185524836183
score,0.01351239439100027,0.003243755316361785,0.0016919980989769101,0.8477855920791626,0.1331421583890915,0.0006241861265152693
score,0.01928374171257019,0.011424013413488865,0.0011342917568981647,0.7731249332427979,0.19398678839206696,0.0010462519712746143
score,0.021764581091701984,0.4942673146724701,0.004305589711293578,0.4510939121246338,0.02605606522411108,0.0025125433458015323
score,0.12186464667320251,0.13887366652488708,0.009001732803881168,0.7204567790031433,0.008690117858350277,0.0011131128994747996
score,0.011543343774974346,0.747137188911438,0.002860293025150895,0.07866112142801285,0.15365692973136902,0.006141212303191423
score,0.011145112104713917,0.002998561132699251,0.0004375363641884178,0.9499695301055908,0.03484083339571953,0.0006084174965508282
score,0.01367178838700056,0.24148814054206014,0.0026500775711610913,0.6679280400276184,0.07199645414948463,0.0022655712673440576
score,0.008434785646386445,0.02556489361450076,0.0017228384967893362,0.4438227415084839,0.5186623930931091,0.0017923443228937685
score,0.06957563757896423,0.7382973432540894,0.002731150481849909,0.17889687418937683,0.008115038275718689,0.0023839424829930067
score,0.025224650278687477,0.025186320766806602,0.002230689162388444,0.5733510255813599,0.37189042568206787,0.0021168033126741648
score,0.0038707477506250143,0.005812780931591988,0.0007003695936873555,0.04309626296162605,0.9451871514320374,0.0013327557826414704
score,0.07820517756044865,0.2467284146696329,0.003908462356775999,0.6175321489572525,0.051642236299812794,0.001983551017474383
score,0.06461992673575878,0.02187001860390107,0.0014294189653204132,0.07608802430331707,0.8345240155855814,0.0014685900338614981
score,0.005812244489789009,0.034735288470983505,0.0014547082828357816,0.9321181178092957,0.024937637150287628,0.0009419582202099264
score,0.19418197870254517,0.06085842102766037,0.005686907097697258,0.5302714705467224,0.20686368644237518,0.0021375329233705997
score,0.006772145046852529,0.008864042698405683,0.0007995433988980949,0.9744541943073273,0.00871613237541169,0.000394003523979336
score,0.015132672153413296,0.4474790692329407,0.007815221324563026,0.5182234048843384,0.00975742656737566,0.0015922089805826545
score,0.049716342240571976,0.18983805179595947,0.0029331811238080263,0.29087257385253906,0.4633137583732605,0.003326116129755974
score,0.01015746220946312,0.9775007963180542,0.0008531257044523954,0.007592569105327129,0.002713053487241268,0.001182950334623456
score,0.038893312215805054,0.77910977602005,0.005372499581426382,0.11622379720211029,0.0569244809448719,0.003476144280284643
score,0.010102325351908803,0.23090574704110622,0.0037674005143344402,0.7370277643203735,0.015977964736521244,0.0022188360744621605
score,0.003750532865524292,0.0030604591593146324,0.00047612760681658983,0.9830225110054016,0.009388864040374756,0.00030134868575260043
score,0.0025885391514748335,0.0250391848385334,0.0031723068095743656,0.965305507183075,0.002987648593261838,0.0009068273939192295
score,0.0037875124253332615,0.009336034767329693,0.0014462476829066873,0.24474506080150604,0.7381532192230225,0.0025319228880107403
score,0.007244603242725134,0.0019797265995293856,0.0005297594470903277,0.9870195388793945,0.002994895214214921,0.00023155848612077534
score,0.35504261031746864,0.43865446125467616,0.0027541786160630486,0.13650570809841156,0.06582632451318204,0.0012167073048961659
score,0.11562900632270613,0.5736284057299297,0.0025149259793882566,0.0495668994699372,0.2572491692408221,0.0014115169227200872
score,0.25570672820322216,0.03261956200003624,0.0015629049012204632,0.5921449661254883,0.11680545145645738,0.0011604106985032558
score,0.046472664922475815,0.07943710312247276,0.003208951558917761,0.8242873549461365,0.0450302567332983,0.0015636484022252262
score,0.09541888441890478,0.07764012517873198,0.0020790330454474315,0.7412334084510803,0.0822807492222637,0.0013477598404278979
score,0.03295174613595009,0.00586987379938364,0.0008938900427892804,0.9224916696548462,0.036974042654037476,0.00081873987801373
score,0.021986329928040504,0.5877695083618164,0.0024022525176405907,0.31891167163848877,0.06624621897935867,0.0026840781792998314
score,0.0013010632246732712,0.0006658028578385711,0.0003508020890876651,0.9874835014343262,0.010007012635469437,0.00019188631267752498
score,0.04522903449833393,0.08865517377853394,0.008733455091714859,0.48688341677188873,0.3677010238170624,0.002797846798785031
score,0.010142221115529537,0.935907244682312,0.00590173015370965,0.033784039318561554,0.011804653331637383,0.002459932817146182
score,0.003056315006688237,0.0015896464465186,0.00040429853834211826,0.9875481128692627,0.00713442824780941,0.0002670884132385254
score,0.00820973515510559,0.008850352838635445,0.0008986746543087065,0.9651685357093811,0.01636672206223011,0.000505950883962214
score,0.01705127116292715,0.12507380917668343,0.002401327423285693,0.3777710646390915,0.4755316451191902,0.0021708335261791945
score,0.06670212745666504,0.492199182510376,0.005473708268254995,0.15463118255138397,0.278274804353714,0.002719016745686531
score,0.050718482583761215,0.6664583086967468,0.005481953267008066,0.13322970271110535,0.13923011720180511,0.0048814681358635426
score,0.04142910614609718,0.049029391258955,0.001988643780350685,0.8610122203826904,0.04538426175713539,0.001156394719146192
score,0.036466583609580994,0.43557459115982056,0.0059193954803049564,0.44909968972206116,0.06959342211484909,0.003346323501318693
score,0.0326725176225106,0.5016903006471694,0.0030263624309251704,0.4480064883828163,0.012859650033836564,0.0017446882945174973
score,0.1993072908371687,0.5577413886785507,0.0025735695380717516,0.17765309289097786,0.05935962591320276,0.003365087090060115
score,0.00975996907800436,0.05659857392311096,0.0018096367130056024,0.9024102687835693,0.028263268992304802,0.0011583337327465415
score,0.011585971340537071,0.020525140687823296,0.0016706684255041182,0.9281986653804779,0.036765757482498884,0.0012537299189716578
score,0.004590731114149094,0.0039180852472782135,0.0005963508156128228,0.8899717926979065,0.10036651045084,0.0005564198945648968
score,0.16514287889003754,0.1504393219947815,0.005031999200582504,0.5861431956291199,0.09010853618383408,0.003134132595732808
score,0.006613843142986298,0.015386609360575676,0.001010020961984992,0.9526728391647339,0.023580927401781082,0.0007358297589235008
score,0.0061119371093809605,0.005819536745548248,0.0007246795576065779,0.9726707339286804,0.014182762242853642,0.0004903166554868221
score,0.013558304170146585,0.2057762707117945,0.0028974621964152902,0.7567200660705566,0.019511902704834938,0.001535952149424702
score,0.004120924277231097,0.020016666734591126,0.0011744225630536675,0.9614323973655701,0.012682750355452299,0.0005728465912397951
