,sadness,joy,love,anger,fear,surprise
score,0.024579904973506927,0.07081009447574615,0.0024051114451140165,0.8691022396087646,0.0312657356262207,0.0018369656754657626
score,0.03645500913262367,0.0864453986287117,0.02071799896657467,0.14858706295490265,0.7007318139076233,0.007062660530209541
score,0.010294647887349129,0.22933350503444672,0.00428328663110733,0.72699373960495,0.026994701474905014,0.0021001792047172785
score,0.003161997999995947,0.011652541346848011,0.001137072453275323,0.06600601226091385,0.9155567288398743,0.0024856359232217073
score,0.01788831129670143,0.5449205040931702,0.008745595812797546,0.40909436345100403,0.017107514664530754,0.0022437642328441143
score,0.022654566913843155,0.38542619347572327,0.005675558932125568,0.5049179792404175,0.07809435576200485,0.0032313880510628223
score,0.015821753069758415,0.8341976404190063,0.002761222654953599,0.07828979194164276,0.06613867729902267,0.0027909348718822002
score,0.008514844812452793,0.8847723603248596,0.01252895500510931,0.08183008432388306,0.010713829658925533,0.0016398921143263578
score,0.030085241422057152,0.4682283103466034,0.007724602706730366,0.3863489627838135,0.10488501191139221,0.0027279015630483627
score,0.01904859021306038,0.16431622207164764,0.0045812916941940784,0.6924092173576355,0.11670780926942825,0.0029368987306952477
score,0.015218248590826988,0.8594917058944702,0.0034721135161817074,0.08943574875593185,0.02964952029287815,0.0027326312847435474
score,0.010655324906110764,0.018970927223563194,0.0016205068677663803,0.9187865853309631,0.04825635999441147,0.0017102682031691074
score,0.017278550192713737,0.7628792524337769,0.0073329913429915905,0.18429508805274963,0.02427283301949501,0.003941269591450691
score,0.02005806192755699,0.20224756002426147,0.005067179910838604,0.577461302280426,0.1919640749692917,0.0032018262427300215
score,0.0027918280102312565,0.0009274776675738394,0.0002834468032233417,0.9939847588539124,0.0017435542540624738,0.0002688777167350054
score,0.03909509256482124,0.01868792437016964,0.0038637132383883,0.5748589038848877,0.3604545295238495,0.003039850387722254
score,0.013889703899621964,0.06149302050471306,0.0038631130009889603,0.36952316761016846,0.5466609001159668,0.004570030141621828
score,0.02673506736755371,0.0618583969771862,0.004054349847137928,0.88810133934021,0.017596401274204254,0.0016544363461434841
score,0.03648841381072998,0.0453646145761013,0.004138450603932142,0.8033268451690674,0.10765281319618225,0.0030288565903902054
score,0.02514735236763954,0.2336452156305313,0.005442402325570583,0.5236024260520935,0.20622210204601288,0.00594050670042634
score,0.09042830020189285,0.17377564311027527,0.004706200677901506,0.4463469088077545,0.27933213114738464,0.00541081465780735
score,0.017021264880895615,0.11311125755310059,0.006091106217354536,0.6885803937911987,0.1731320321559906,0.00206392933614552
score,0.016875499859452248,0.8701308965682983,0.005593162961304188,0.08910936117172241,0.017347918823361397,0.0009432124206796288
score,0.022607361897826195,0.007209331262856722,0.002020670101046562,0.9434614181518555,0.024107638746500015,0.0005936251254752278
score,0.008225256577134132,0.002273352351039648,0.00038146370206959546,0.9844667911529541,0.004279159475117922,0.0003738776140380651
score,0.022752270102500916,0.5354956388473511,0.006083053071051836,0.3983672857284546,0.03448603302240372,0.0028156740590929985
score,0.029522228986024857,0.8017754554748535,0.0036642374470829964,0.11096184700727463,0.04970749840140343,0.004368680529296398
